# Blocks, # Threads, Sync. time, Async. time
1,1,14.59,0.17
1,1,11.74,0.10
1,1,11.64,0.10
1,1,11.75,0.10
1,1,11.74,0.10
1,1,11.59,0.10
1,1,11.77,0.10
1,1,11.73,0.10
1,1,11.75,0.10
1,1,12.09,0.10
1,51,11.70,0.10
1,51,11.63,0.10
1,51,11.67,0.10
1,51,12.61,0.10
1,51,11.96,0.10
1,51,11.74,0.10
1,51,11.70,0.10
1,51,11.71,0.10
1,51,11.68,0.10
1,51,11.92,0.10
1,101,11.72,0.10
1,101,11.69,0.10
1,101,11.67,0.10
1,101,11.96,0.10
1,101,12.20,0.10
1,101,11.66,0.10
1,101,11.66,0.10
1,101,11.71,0.10
1,101,11.66,0.10
1,101,11.83,0.10
1,151,11.97,0.10
1,151,11.72,0.10
1,151,11.66,0.10
1,151,11.70,0.10
1,151,11.66,0.10
1,151,11.78,0.10
1,151,12.50,0.10
1,151,11.61,0.10
1,151,11.73,0.10
1,151,11.76,0.10
1,201,11.74,0.10
1,201,12.14,0.10
1,201,11.70,0.10
1,201,11.67,0.10
1,201,12.56,0.10
1,201,11.91,0.10
1,201,11.81,0.10
1,201,11.76,0.10
1,201,11.69,0.10
1,201,11.72,0.10
1,251,12.02,0.10
1,251,11.75,0.10
1,251,11.80,0.10
1,251,11.69,0.10
1,251,11.78,0.10
1,251,12.48,0.10
1,251,11.73,0.10
1,251,11.76,0.10
1,251,11.94,0.10
1,251,11.68,0.10
1,301,11.71,0.10
1,301,11.87,0.10
1,301,11.71,0.10
1,301,11.70,0.10
1,301,11.77,0.10
1,301,11.78,0.10
1,301,12.66,0.09
1,301,11.74,0.10
1,301,11.71,0.10
1,301,11.79,0.10
1,351,12.10,0.10
1,351,11.74,0.10
1,351,11.70,0.10
1,351,11.66,0.10
1,351,12.18,0.10
1,351,11.77,0.10
1,351,11.83,0.10
1,351,11.80,0.10
1,351,11.82,0.10
1,351,11.76,0.10
1,401,11.77,0.10
1,401,11.74,0.10
1,401,11.81,0.10
1,401,11.75,0.10
1,401,11.99,0.10
1,401,11.73,0.10
1,401,11.74,0.10
1,401,11.85,0.10
1,401,11.96,0.10
1,401,11.81,0.10
1,451,11.63,0.10
1,451,12.57,0.10
1,451,11.70,0.10
1,451,11.74,0.10
1,451,11.94,0.10
1,451,11.82,0.10
1,451,11.63,0.10
1,451,12.78,0.10
1,451,11.98,0.10
1,451,12.76,0.10
1,501,11.68,0.10
1,501,12.59,0.10
1,501,12.01,0.10
1,501,11.82,0.09
1,501,11.88,0.10
1,501,12.83,0.10
1,501,11.81,0.10
1,501,11.88,0.10
1,501,11.72,0.10
1,501,11.69,0.10
1,551,11.77,0.10
1,551,11.79,0.10
1,551,12.19,0.10
1,551,11.67,0.10
1,551,11.88,0.10
1,551,11.74,0.10
1,551,12.00,0.10
1,551,12.60,0.10
1,551,11.76,0.11
1,551,12.11,0.10
1,601,11.83,0.10
1,601,11.74,0.10
