Block_dim,Stride,Clocks
32,1,48
32,1,64
32,1,64
32,1,65
32,1,65
32,1,64
32,1,48
32,1,62
32,1,62
32,1,64
32,2,48
32,2,48
32,2,48
32,2,48
32,2,48
32,2,48
32,2,48
32,2,48
32,2,48
32,2,48
32,3,48
32,3,64
32,3,64
32,3,48
32,3,63
32,3,48
32,3,48
32,3,63
32,3,64
32,3,48
32,4,48
32,4,48
32,4,48
32,4,48
32,4,62
32,4,55
32,4,48
32,4,62
32,4,50
32,4,48
32,5,63
32,5,48
32,5,48
32,5,48
32,5,62
32,5,48
32,5,48
32,5,63
32,5,63
32,5,48
32,6,48
32,6,48
32,6,48
32,6,48
32,6,48
32,6,48
32,6,48
32,6,48
32,6,48
32,6,48
32,7,48
32,7,48
32,7,48
32,7,48
32,7,48
32,7,62
32,7,48
32,7,48
32,7,48
32,7,63
32,8,59
32,8,48
32,8,59
32,8,48
32,8,59
32,8,48
32,8,48
32,8,48
32,8,48
32,8,59
32,9,48
32,9,63
32,9,64
32,9,48
32,9,64
32,9,48
32,9,52
32,9,48
32,9,64
32,9,48
32,10,48
32,10,67
32,10,48
32,10,48
32,10,48
32,10,48
32,10,48
32,10,48
32,10,48
32,10,48
32,11,64
32,11,48
32,11,52
32,11,52
32,11,63
32,11,63
32,11,64
32,11,48
32,11,48
32,11,64
32,12,62
32,12,48
32,12,48
32,12,48
32,12,62
32,12,48
32,12,50
32,12,48
32,12,48
32,12,48
32,13,48
32,13,48
32,13,48
32,13,48
32,13,48
32,13,63
32,13,64
32,13,64
32,13,64
32,13,52
32,14,67
32,14,48
32,14,48
32,14,48
32,14,48
32,14,48
32,14,48
32,14,48
32,14,48
32,14,48
32,15,48
32,15,48
32,15,64
32,15,48
32,15,64
32,15,64
32,15,48
32,15,64
32,15,48
32,15,48
32,16,48
32,16,48
32,16,48
32,16,48
32,16,48
32,16,48
32,16,48
32,16,48
32,16,48
32,16,48
32,17,65
32,17,48
32,17,48
32,17,64
32,17,48
32,17,48
32,17,48
32,17,48
32,17,48
32,17,63
32,18,52
32,18,67
32,18,48
32,18,48
32,18,48
32,18,52
32,18,48
32,18,48
32,18,48
32,18,67
32,19,48
32,19,48
32,19,63
32,19,63
32,19,48
32,19,48
32,19,52
32,19,62
32,19,64
32,19,52
32,20,48
32,20,48
32,20,48
32,20,55
32,20,49
32,20,48
32,20,48
32,20,55
32,20,48
32,20,48
32,21,64
32,21,48
32,21,63
32,21,52
32,21,48
32,21,64
32,21,63
32,21,62
32,21,48
32,21,48
32,22,48
32,22,48
32,22,48
32,22,53
32,22,48
32,22,48
32,22,48
32,22,48
32,22,48
32,22,48
32,23,64
32,23,63
32,23,48
32,23,63
32,23,64
32,23,48
32,23,63
32,23,63
32,23,64
32,23,48
32,24,48
32,24,48
32,24,59
32,24,48
32,24,59
32,24,48
32,24,48
32,24,48
32,24,48
32,24,59
32,25,48
32,25,48
32,25,64
32,25,48
32,25,64
32,25,64
32,25,48
32,25,48
32,25,48
32,25,48
32,26,48
32,26,48
32,26,48
32,26,48
32,26,48
32,26,48
32,26,48
32,26,48
32,26,48
32,26,48
32,27,48
32,27,64
32,27,64
32,27,48
32,27,48
32,27,48
32,27,48
32,27,48
32,27,64
32,27,48
32,28,48
32,28,48
32,28,48
32,28,48
32,28,54
32,28,48
32,28,48
32,28,48
32,28,48
32,28,48
32,29,48
32,29,48
32,29,48
32,29,48
32,29,48
32,29,48
32,29,48
32,29,62
32,29,63
32,29,64
32,30,48
32,30,61
32,30,67
32,30,48
32,30,48
32,30,48
32,30,48
32,30,48
32,30,67
32,30,48
32,31,48
32,31,48
32,31,48
32,31,64
32,31,52
32,31,64
32,31,48
32,31,48
32,31,66
32,31,63
32,32,446
32,32,286
32,32,316
32,32,273
32,32,542
32,32,430
32,32,407
32,32,468
32,32,353
