Array size,Block size,Parallel reduction BW,Sequential reduction BW
8,8,0.000925926,1.6
8,8,0.000816327,1.06667
8,8,0.00094504,1.6
8,8,0.000951249,1.6
8,8,0.000950119,1.6
8,8,0.000928882,1.6
8,8,0.00090421,1.06667
8,8,0.000946438,1.06667
8,8,0.00096151,1.06667
8,8,0.00094198,1.6
16,8,0.00165076,2.13333
16,8,0.00190988,3.2
16,8,0.00189517,2.13333
16,8,0.0018823,2.13333
16,8,0.00187025,2.13333
16,8,0.0019025,3.2
16,8,0.00191904,2.13333
16,8,0.00188902,3.2
16,8,0.00187953,2.13333
16,8,0.00186638,3.2
32,8,0.00374378,6.4
32,8,0.00368972,4.26667
32,8,0.00380828,6.4
32,8,0.00383808,6.4
32,8,0.00365714,6.4
32,8,0.00356338,6.4
32,8,0.0037757,4.26667
32,8,0.00373287,6.4
32,8,0.00374598,3.2
32,8,0.00377247,4.26667
64,8,0.00750931,8.53333
64,8,0.00759419,8.53333
64,8,0.00767616,8.53333
64,8,0.00739009,8.53333
64,8,0.00750293,12.8
64,8,0.00767133,12.8
64,8,0.00724576,12.8
64,8,0.00750491,8.53333
64,8,0.00755831,12.8
64,8,0.00743516,8.53333
128,8,0.0149791,17.0667
128,8,0.0150191,25.6
128,8,0.015139,17.0667
128,8,0.0149572,17.0667
128,8,0.0149795,25.6
128,8,0.0151564,25.6
128,8,0.0151569,25.6
128,8,0.0138904,25.6
128,8,0.015229,25.6
128,8,0.0147042,17.0667
256,8,0.0294337,51.2
256,8,0.0298804,34.1333
256,8,0.0304853,51.2
256,8,0.0303309,51.2
256,8,0.02633,51.2
256,8,0.0300117,51.2
256,8,0.0251969,34.1333
256,8,0.0302681,51.2
256,8,0.0302243,51.2
256,8,0.0298708,51.2
512,8,0.059464,102.4
512,8,0.0599865,68.2667
512,8,0.06034,102.4
512,8,0.0610069,102.4
512,8,0.0591566,102.4
512,8,0.0606815,102.4
512,8,0.0428721,68.2667
512,8,0.0594312,68.2667
512,8,0.0607697,102.4
512,8,0.0608799,68.2667
1024,8,0.121148,136.533
1024,8,0.117398,136.533
1024,8,0.119313,204.8
1024,8,0.118553,204.8
1024,8,0.1176,204.8
1024,8,0.120149,136.533
1024,8,0.12311,204.8
1024,8,0.120364,136.533
1024,8,0.12079,204.8
1024,8,0.118378,136.533
2048,8,0.239532,409.6
2048,8,0.20839,273.067
2048,8,0.236081,409.6
2048,8,0.238271,409.6
2048,8,0.225675,273.067
2048,8,0.229269,273.067
2048,8,0.237167,273.067
2048,8,0.242002,273.067
2048,8,0.243664,409.6
2048,8,0.238625,273.067
4096,8,0.475712,819.2
4096,8,0.478086,546.133
4096,8,0.477932,819.2
4096,8,0.476695,819.2
4096,8,0.471482,546.133
4096,8,0.456125,819.2
4096,8,0.461521,546.133
4096,8,0.473923,546.133
4096,8,0.466767,546.133
4096,8,0.474885,819.2
8192,8,0.922782,1092.27
8192,8,0.921226,1638.4
