make: Nothing to be done for 'build'.
Vector Length;NumGangs;Grid Size;Total Alive Cells;Total Execution Time
128;1024;128;5902;0.000106
128;1024;256;24387;0.000148
128;1024;512;98628;0.000227
128;1024;1024;397832;0.000385
128;1024;2048;1562036;0.000704
128;1024;4096;6232877;0.001342
128;1024;8192;24824799;0.002625
128;1024;16384;100584758;0.006355
128;1024;32768;402481820;0.025287
128;2048;128;5902;0.000107
128;2048;256;24387;0.000151
128;2048;512;98628;0.000229
128;2048;1024;397832;0.000387
128;2048;2048;1562036;0.000707
128;2048;4096;6232877;0.001349
128;2048;8192;24824799;0.002610
128;2048;16384;100584758;0.006370
128;2048;32768;402481820;0.025269
128;3072;128;5902;0.000110
128;3072;256;24387;0.000152
128;3072;512;98628;0.000229
128;3072;1024;397832;0.000389
128;3072;2048;1562036;0.000703
128;3072;4096;6232877;0.001342
128;3072;8192;24824799;0.002604
128;3072;16384;100584758;0.006304
128;3072;32768;402481820;0.024472
128;4096;128;5902;0.000112
128;4096;256;24387;0.000155
128;4096;512;98628;0.000232
128;4096;1024;397832;0.000390
128;4096;2048;1562036;0.000706
128;4096;4096;6232877;0.001344
128;4096;8192;24824799;0.002602
128;4096;16384;100584758;0.006309
128;4096;32768;402481820;0.024484
128;5120;128;5902;0.000113
128;5120;256;24387;0.000157
128;5120;512;98628;0.000234
128;5120;1024;397832;0.000394
128;5120;2048;1562036;0.000709
128;5120;4096;6232877;0.001347
128;5120;8192;24824799;0.002604
128;5120;16384;100584758;0.006313
128;5120;32768;402481820;0.024478
128;6144;128;5902;0.000117
128;6144;256;24387;0.000159
128;6144;512;98628;0.000236
128;6144;1024;397832;0.000395
128;6144;2048;1562036;0.000712
128;6144;4096;6232877;0.001348
128;6144;8192;24824799;0.002608
128;6144;16384;100584758;0.006314
128;6144;32768;402481820;0.024473
128;7168;128;5902;0.000119
128;7168;256;24387;0.000163
128;7168;512;98628;0.000243
128;7168;1024;397832;0.000399
128;7168;2048;1562036;0.000715
128;7168;4096;6232877;0.001350
