# Processes,# Elements,Time [s]
1,128,0.000409738
1,256,0.00125909
1,512,0.00476907
1,1024,0.0173793
1,2048,0.0643057
1,4096,0.253263
1,8192,1.00896
1,16384,4.04236
1,32768,16.1983
2,128,0.000157009
2,256,0.000630106
2,512,0.00237705
2,1024,0.00942475
2,2048,0.034023
2,4096,0.131583
2,8192,0.527703
2,16384,2.11505
2,32768,8.48419
4,128,9.17637e-05
4,256,0.000328207
4,512,0.00124172
4,1024,0.00480019
4,2048,0.0176759
4,4096,0.0674951
4,8192,0.270262
4,16384,1.08091
4,32768,4.327
8,128,6.49845e-05
8,256,0.000186309
8,512,0.000676641
8,1024,0.00252735
8,2048,0.00963876
8,4096,0.0340625
8,8192,0.136696
8,16384,0.542114
8,32768,2.18233
12,128,5.20094e-05
12,256,0.000148946
12,512,0.000491143
12,1024,0.00176828
12,2048,0.00646677
12,4096,0.0247716
12,8192,0.09123
12,16384,0.425458
12,32768,1.47294
24,128,0.00108032
24,256,0.00166599
24,512,0.00306165
24,1024,0.00611843
24,2048,0.0133327
24,4096,0.0330468
24,8192,0.087437
24,16384,0.269725
24,32768,0.901747
48,128,0.00147947
48,256,0.00258488
48,512,0.00447364
48,1024,0.00318787
48,2048,0.00543657
48,4096,0.0112012
48,8192,0.0330649
48,16384,0.110927
48,32768,0.408172
64,128,0.0014149
64,256,0.00206093
64,512,0.00334643
64,1024,0.00397534
64,2048,0.00530501
64,4096,0.0105287
64,8192,0.0272731
64,16384,0.0867878
64,32768,0.310249
